,diesel,petrol,location,lat,lon
Barmer,95.34,110.26,"Bārmer, Barmer District, Rajasthan, India",25.75,71.5
Barnala,87.44,97.08,"Barnala, Punjab, India",30.3704685,75.504017418548
Barpeta,89.05,97.53,"Barpeta, Assam, India",26.34142215,91.01674328474073
Bastar,98.23,105.29,"Bastar, Chhattisgarh, India",19.11912825,81.82918648971713
Basti,90.13,96.93,"Basti, Uttar Pradesh, India",26.724789,82.79326865024002
Bathinda,87.39,97.03,"Bathinda, Punjab, India",30.17911535,75.04710156312628
Begusarai,93.74,106.95,"Begusarai, Bihar, India",25.5127194,86.09057109140021
Belgaum,88.55,102.64,"Belagavi, Belagavi taluku, Belgaum district, Karnataka, 590001, India",15.8572666,74.5069343
Bellary,89.53,103.73,"Ballari, Bellary taluk, Bellary district, Karnataka, 583101, India",15.1433952,76.9193876
Bemetara,95.88,102.91,"Bemetara, Chhattisgarh, India",21.6783867,81.44125784340252
Betul,94.83,109.66,"Betul, Madhya Pradesh, India",21.8796162,77.87568124563079
Bhadradri Kothagudem,98.86,110.78,"Bhadradri Kothagudem, Telangana, India",17.71534525,80.57149761778712
Bhadrak,95.29,103.73,"Bhadrak, Bhadrak Rural, Bhadrak, Odisha, 756100, India",21.0633288,86.5053731
Bhagalpur,94.8,108.08,"Bhagalpur, Bihar, India",25.2871758,87.13033088387233
Bhandara,93.22,106.69,"Bhandara, Maharashtra, India",21.12304765,79.79390882119336
Bharatpur,93.88,108.68,"Bharatpur, Nainital, Uttarakhand, 263136, India",29.3582395,79.547882
Bharuch,92.74,96.99,"Bharūch, Bharuch District, Gujarat, 392021, India",21.75,73.0
Bhavnagar,93.74,97.99,"Bhavnagar, Bhavnagar Taluka, Bhavnagar District, Gujarat, 364001, India",21.7718836,72.1416449
Bhilwara,93.89,108.66,"Bhilwara, Bhilwara District, Rajasthan, India",25.5,74.75
Bhind,94.34,109.12,"Bhind, Madhya Pradesh, 477001, India",26.5,78.75
Bhiwani,90.36,97.5,"Bhiwani, Bhiwani district, Haryana, 125021, India",28.7931703,76.1391283
Bhojpur,94.65,107.89,"Bhojpur, Rohtas District, Bihar, India",25.25,84.25
Bhopal,93.9,108.65,"Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",23.2584857,77.401989
Bid,93.94,107.46,"Bid, Arni, Yavatmal, Maharashtra, 445203, India",20.1478882,77.8803527
Bidar,88.23,102.28,"Bidar, Bidar district, Karnataka, India",18.083333,77.333333
Bijapur,99.77,106.85,"Bijapur District, Chhattisgarh, India",18.7935679,80.815939
Bijnor,89.69,96.5,"Bijnor, Uttar Pradesh, India",29.40604895,78.48087839917878
Bikaner,96.08,111.08,"Bikaner, Bikaner Tehsil, Bikaner District, Rajasthan, 334001, India",28.0159286,73.3171367
Bilaspur,95.66,102.67,"Bilaspur, Rampur District, Uttar Pradesh, India",28.8680526,79.29838501460121
Birbhum,93.58,106.91,"Bīrbhūm, Birbhum, West Bengal, 731132, India",24.0,87.583333
Bishnupur,87.17,101.23,"Bishnupur, Manipur, 795126, India",24.562463649999998,93.8012483746545
Biswanath,89.41,97.87,"Biswanath, Bishwanath, Assam, India",26.7773957,93.25694367444689
Bokaro,95.0,100.21,"Bokaro, Jharkhand, India",23.699127949999998,85.99106894165021
Bolangir,97.17,105.67,"Balāngīr, Balangir, Odisha, India",20.7502257,83.2499464
Bongaigaon,88.55,97.01,"Bongaigaon (Pt), Bongaigaon, Assam, India",26.412376950000002,90.57149765106257
Botad,93.39,97.64,"Botad, Botad Taluka, Botad District, Gujarat, 364700, India",22.1686,71.6685
Boudh,96.67,105.18,"Boudh, Baudh Sadar, Baudh, Odisha, 762014, India",20.8415619,84.3213321
Budaun,89.67,96.48,"Budaun, Uttar Pradesh, India",28.06831165,79.04607312079293
Bulandshahr,90.34,97.2,"Bulandshahr, Uttar Pradesh, India",28.38886085,77.97479772598118
Buldhana,94.55,108.11,"Buldhana, Maharashtra, India",20.53208,76.179911
Bundi,93.24,107.96,"Būndi, Bundi District, Rajasthan, India",25.5,75.833333
Burhanpur,95.55,110.42,"Burhanpur, Azamgarh, Uttar Pradesh, India",26.2697215,82.99442536730413
Buxar,95.46,108.76,"Buxar, Bihar, India",25.562071500000002,84.01567204651289
Cachar,89.13,97.57,"Cachar, Assam, India",24.758639950000003,92.88166475768219
Central Delhi,89.62,96.72,"Central Delhi, Delhi, India",28.69854835,77.2193906890312
Chamba,86.28,97.17,"Chamba, Chamba district, Himachal Pradesh, India",32.518429,76.23086565661742
Chamoli,93.06,98.29,"Chamoli, Chamoli district, Uttarakhand, India",30.5,79.5
Champawat,90.37,95.25,"Champawat, Uttarakhand, India",29.23631315,80.10172076512075
Champhai,83.77,97.59,"Champhai, Mizoram, 796321, India",23.6317319,93.34931854269607
Chamrajnagar,88.0,102.06,"New DH Chamrajnagar, SH80, Chamarajanagara, Chamarajanagara taluk, Chamarajanagar district, Karnataka, 571313, India",11.9269937,76.9424311
Chandauli,89.82,96.63,"Chandauli, Uttar Pradesh, India",25.1265777,83.2496557733391
Chandel,87.55,101.65,"Chandel, Manipur, 795127, India",24.3197442,94.0210988225432
Chandigarh,84.26,96.2,"Chandigarh, India",30.72984395,76.78414567016054
Chandrapur,92.94,106.39,"Chandrapur, Maharashtra, India",20.0967555,79.50454752230621
Changlang,84.66,95.39,"Changlang, Changlang HQ, Changlang District, Arunachal Pradesh, 792120, India",27.1398402,95.7382485
Charaideo,89.26,97.74,"Charaideo, Assam, India",27.06971635,95.06426298389661
Charkhi Dadri,89.85,96.98,"Charkhi Dadri, Dadri, Charkhi Dadri, Haryana, 123306, India",28.5919933,76.2719817
Chatra,96.26,101.46,"Chatra, Jharkhand, India",24.20162495,84.87817691941733
Chennai,94.24,102.63,"Chennai, Chennai District, Tamil Nadu, 600001, India",13.0836939,80.270186
Chhatarpur,95.19,110.06,"Chhatarpur, Madhya Pradesh, 471105, India",24.75,79.75
Chhindwara,94.99,109.81,"Chhindwara, Madhya Pradesh, India",22.139831049999998,78.80964495467987
Chhota Udepur,92.15,96.41,"Chhota Udepur, SH62, Chhota Udaipur, Chhota Udaipur Taluka, Chhota Udaipur District, Gujarat, 391165, India",22.3148736,74.0141067
Chikkaballapura,87.67,101.69,"Chikkaballapura, Chikkaballapura taluk, Chikkaballapura district, Karnataka, 562101, India",13.4358702,77.7312434
Chikmagalur,88.19,102.36,"Chikkamagaluru, Chikkamagaluru taluku, Chikkamagaluru district, Karnataka, 577101, India",13.318014,75.7738743
Chirang,88.51,96.98,"Chirang, Assam, India",26.6464231,90.62415698729875
Chitradurga,89.32,103.63,"Chitradurga, Chitradurga taluku, Chitradurga district, Karnataka, 577500, India",14.2266443,76.4005122
Chitrakut,90.72,97.54,"Chitrakut, Rd, Virar West, Virar, Vasai-Virar, Vasai, Palghar, Maharashtra, 401303, India",19.447019949999998,72.81174059684841
Chittaurgarh,93.68,108.43,"Chittaurgarh, Chittorgarh District, Rajasthan, India",24.5,74.5
Chittoor,100.3,112.66,"Chittoor, Andhra Pradesh, India",13.1601048,79.15555061803596
Churachandpur,87.51,101.61,"Churachandpur, Manipur, India",24.378704,93.69700149533944
Churu,95.03,109.93,"Chūru, Churu District, Rajasthan, India",28.5,74.5
Coimbatore,94.78,103.17,"Coimbatore, Coimbatore North, Coimbatore District, Tamil Nadu, 641001, India",11.0018115,76.9628425
Cooch Bihar,94.03,107.39,"Cooch Behar - I, Kochbihar, West Bengal, India",26.3223696,89.4592445
Cuddalore,96.56,105.01,"Cuddalore, Cuddalore District, Tamil Nadu, 607001, India",11.7564329,79.7634644
Cuddapah,98.51,110.7,"Patha Cuddapah, Kadapa, YSR, Andhra Pradesh, 516002, India",14.4956602,78.8349278
Cuttack,95.1,103.54,"Cuttack, Cuttack (M.Corp.) P.S, Cuttack, Odisha, 753001, India",20.4686,85.8792
Dahod,92.71,96.96,"Dahod, Dahod Taluka, Dahod District, Gujarat, 389100, India",22.8358786,74.2556823
Dakshin Dinajpur,93.07,106.36,"Dakshin Dinajpur, West Bengal, India",25.38703085,88.50471505
Dakshin Kannada,87.31,101.34,"Dakshin Court, NH73, Kaikunje, Bantwal Cross Road, Bantwal taluk, Dakshina Kannada district, Karnataka, 574219, India",12.8827367,75.0309089
Daman,89.86,94.31,"Daman, Dadra and Nagar Haveli and Daman and Diu, India",20.42000485,72.86376290300566
Damoh,94.79,109.62,"Damoh, Madhya Pradesh, India",23.75,79.583333
Dantewada,99.31,106.39,"Dantewada, Chhattisgarh, India",18.8640648,81.38339468738648
Darbhanga,94.65,107.91,"Darbhanga, Bihar, India",26.08314325,86.03257096612822
Darjeeling,94.27,108.02,"Darjeeling, Darjeeling Pulbazar, Darjeeling District, West Bengal, 734101, India",27.0377554,88.263176
Darrang,88.92,97.4,"Darrang, Sonitpur, Assam, 784110, India",26.75,92.5
Datia,94.56,109.36,"Datia, Madhya Pradesh, India",25.75,78.5
Dausa,94.28,109.12,"Dausa, Dausa Tehsil, Dausa District, Rajasthan, 303300, India",26.893342,76.3376514
Davangere,89.33,103.63,"Davanagere, SH76, Davangere City Corporation Offices, K.B. Extension, Davanagere, Davanagere Taluku, Davanagere District, Karnataka, 577002, India",14.4679807,75.9195682
Dehradun,90.35,95.31,"Dehradun, Uttarakhand, 248001, India",30.3255646,78.0436813
Delhi Shahdara,89.62,96.72,"Delhi Government Quarters, Vivek Vihar Tehsil, Shahdara, Delhi, India",28.651677550000002,77.30206988209743
Deogarh,94.35,99.57,"Deogarh, Debagarh, Odisha, India",21.5370786,84.7301184
Deoria,89.81,96.63,"Deoria, Uttar Pradesh, India",26.42384715,83.76273169028727
Devbhumi Dwarka,92.52,96.77,"Devbhumi Dwarka, Okhamandal Taluka, Devbhumi Dwaraka District, Gujarat, 361335, India",22.244475899999998,68.96800187672852
Dewas,93.84,108.56,"Dewas, Madhya Pradesh, India",23.0,76.166667
Dhalai,87.66,98.66,"Dhalai, Tripura, India",23.8253158,91.9732226716333
Dhamtari,95.66,102.68,"Dhamtari, NH30, Dhamtari Tahsil, Dhamtari, Chhattisgarh, 493773, India",20.7084545,81.5481305
Dhanbad,94.6,99.8,"Dhanbad, Dhanbad-Cum-Kenduadih-Cum-Jagata, Dhanbad, Jharkhand, 826001, India",23.7952809,86.4309638
Dhar,94.79,109.61,"Dhār, Dhar, Madhya Pradesh, India",22.5,75.25
Dharmapuri,95.5,103.9,"Dharmapuri, Dharmapuri District, Tamil Nadu, India",12.09680475,78.19304301026716
Dharwad,87.7,101.7,"Dharwad, Dharawada taluku, Dharwad district, Karnataka, 580001, India",15.4540505,75.0066516
Dhaulpur,94.02,108.83,"Dhaulpur, Dhaulpur Tehsil, Dhaulpur District, Rajasthan, 328001, India",26.7010642,77.896749
Dhemaji,89.62,98.11,"Dhemaji, Dhemaji District, Assam, India",27.466831499999998,94.51786508708852
Dhenkanal,95.52,103.98,"Dhenkānāl, Dhenkanal, Odisha, 759035, India",20.75,85.5
Dhuburi,89.88,98.38,"Dhuburi, Dhubri, Assam, 783300, India",26.0188758,89.97932453629173
Dhule,92.54,106.01,"Dhule, Maharashtra, India",21.13170235,74.48990147066098
Dibang Valley,84.57,95.3,"Dibang Valley district, Arunachal Pradesh, India",28.8291044,95.95540957636018
Dibrugarh,88.91,97.38,"Dibrugarh, Dibrugarh East, Dibrugarh, Assam, 786001, India",27.4844597,94.9019447
Dima Hasao,90.37,98.83,"Dima Hasao district, Assam, India",25.400362549999997,93.07522922678905
Dimapur,86.65,98.28,"Dimapur, Dimapur Sadar, Dimapur, Nagaland, 797112, India",25.911744,93.721703
Dindigul,95.31,103.7,"Dindigul, Dindgul District, Tamil Nadu, India",10.3303299,78.0673979084697
Dindori,95.36,110.22,"Dindori, Madhya Pradesh, India",22.907368650000002,80.88511429688029
Diu,90.81,95.26,"Diu, Dadra and Nagar Haveli and Daman and Diu, India",20.718174949999998,70.93238341010638
Doda,85.85,100.66,"Doda, Doda district, Jammu and Kashmir, 182202, India",33.1449112,75.5473969
Dumka,95.31,100.53,"Dumka, Jharkhand, India",24.2538512,87.30064714192224
Dungarpur,95.09,109.99,"Dūngarpur, Dungarpur District, Rajasthan, 314404, India",23.666667,73.75
Durg,95.61,102.63,"Durg, Chhattisgarh, India",21.1982964,81.40079215767969
East Champaran,95.35,108.64,"Referral Hospital, East Champaran, SH54, Areraj, Purba Champaran, Bihar, 845412, India",26.5475298,84.6717583
East Delhi,89.62,96.72,"East Delhi, Delhi, India",28.61976385,77.30955022430011
East District,89.9,102.85,"RTO Office, East District, Jiwan Theeng Marg, Development Area, Gangtok, Gangtok district, Sikkim, 737101, India",27.3338349,88.614658
East Garo Hills,84.78,96.27,"East Garo Hills, Meghalaya, 794111, India",25.61849455,90.63421621777749
East Godavari,99.88,112.22,"East Godavari, Andhra Pradesh, India",16.99842865,81.71561488059287
East Imphal,87.13,101.19,"Imphal East, Manipur, India",24.85154025,94.00947957721581
East Jaintia Hills,85.34,97.01,"East Jaintia Hills, Meghalaya, India",25.25157605,92.48405006942016
East Kameng,83.91,94.74,"East Kameng, East Kameng district, Arunachal Pradesh, India",27.3,93.05
East Khasi Hills,84.68,96.44,"East Khasi Hills, Meghalaya, India",25.40237355,91.83254097054908
East Siang,84.22,94.97,"East Siang, Upper Siang, Arunachal Pradesh, India",28.3,95.15
East Singhbhum,95.08,100.29,"Life Line Nursing Home, East Singhbhum, Rajendranagar, Jamshedpur, Golmuri-Cum-Jugsalai, Purbi Singhbhum, Jharkhand, 831001, India",22.8092139,86.2091549
Ernakulam,96.58,107.65,"Ernakulam, Kanayannur, Ernakulam district, Kerala, 682035, India",9.98408,76.2741457
Erode,94.98,103.36,"Erode, Erode District, Tamil Nadu, India",11.369204400000001,77.67662686841793
Etah,89.85,96.68,"Etah, Uttar Pradesh, India",27.5541146,78.60078640304634
Etawah,90.06,96.9,"Etawah, Uttar Pradesh, India",26.718324350000003,79.09025375025163
Faizabad,90.42,97.25,"Faizabad, Uttar Pradesh, India",26.63807555,82.05902434378625
Faridabad,90.11,97.25,"Faridabad, Haryana, 121001, India",28.4031478,77.3105561
Faridkot,87.6,97.25,"Faridkot, Punjab, India",30.60092505,74.79477422840449
Farrukhabad,90.24,97.06,"Farrukhabad, Uttar Pradesh, India",27.43719385,79.48912946503123
Fatehabad,90.81,97.98,"Fatehabad, Haryana, India",29.51238035,75.4291789790538
Fatehgarh Sahib,88.12,97.79,"Fatehgarh Sahib, Fatehgarh Sahib Tahsil, Fategarh Sahib, Punjab, 140407, India",30.6466737,76.3887563
Fatehpur,90.51,97.35,"Fatehpur, Uttar Pradesh, India",25.8435395,80.91800397088501
Fazilka,87.84,97.5,"Fazilka, Fazilka Tahsil, Fazilka District, Punjab, 152123, India",30.4032097,74.0310609
Firozabad,89.69,96.53,"Firozabad, Uttar Pradesh, India",27.17736635,78.38991197951182
Firozpur,88.21,97.89,"Firozpur, Punjab, India",30.885100350000002,74.66014081248886
Gadag,88.2,102.25,"Shobha Hospital, Gadag, Malasamudra - Bankapur Road, Gadag-Betageri, Gadag taluk, Gadag district, Karnataka, 582103, India",15.419595,75.621863
Gadchiroli,93.36,106.82,"Gadchiroli, Maharashtra, India",19.759070350000002,80.16228072580182
Gajapati,97.13,105.66,"Gajapati, Odisha, India",19.19557415,84.19297736346317
Ganderbal,87.25,102.28,"Ganderbal, Ganderbal district, Jammu and Kashmir, India",34.193425500000004,74.83434976826678
Gandhi Nagar,92.38,96.63,"Gandhi Nagar, Shahdara, Delhi, 110031, India",28.6587904,77.2715878
Ganganagar,98.24,113.48,"Ganganagar, Dhalai, Tripura, India",23.7497214,91.87663495294915
Ganjam,96.17,104.66,"Ganjam, Odisha, India",19.4129711,85.04710406447731
Garhwa,97.38,102.58,"Garhwa, Jharkhand, India",24.15529035,83.82522584408349
Gariyaband,96.05,103.08,"Bindranavagarh(Gariyaband) Tahsil, Gariaband, Chhattisgarh, India",20.52675605,82.19172167092043
Gautam Budh Nagar,90.14,97.0,"Noida-Greater Noida Expressway, Greater Noida, Gautam Buddha Nagar, Uttar Pradesh, 201310, India",28.4543476,77.4977069
Gaya,95.04,108.31,"Gaya, Gaya Town C.D.Block, Gaya, Bihar, 823001, India",24.7964355,85.0079563
Ghaziabad,89.75,96.58,"Ghaziabad, Ghaziabad District, Uttar Pradesh, India",28.6711527,77.4120356
Ghazipur,90.43,97.25,"Ghazipur, Uttar Pradesh, India",25.603508400000003,83.50745404887138
Gir Somnath,93.92,98.15,"Gir Somnath District, Gujarat, India",20.9911049,70.68806405046848
Giridih,94.93,100.13,"Giridih, Jharkhand, India",24.1608897,86.25113503301655
Goalpara,89.04,97.52,"Goalpara, Balijana, Goalpara, Assam, 783362, India",26.1783623,90.6226683
Godda,95.3,100.53,"Godda, Jharkhand, 814133, India",24.74334305,87.2928506179686
Golaghat,88.71,97.18,"Golaghat, Assam, India",26.40490095,94.03209112120626
Gomati,88.89,99.98,"Gomati, Tripura, India",23.4613369,91.60718003817723
Gonda,89.96,96.76,"Gonda, Uttar Pradesh, India",27.1096669,81.9183291218813
Gondia,94.32,107.84,"Gondia City, Gondiya Taluka, Gondiya, Maharashtra, India",21.455228,80.1962729
Gopalganj,95.46,108.77,"Gopalganj, Bihar, India",26.4207265,84.37406407415165
Gorakhpur,89.97,96.79,"Gorakhpur, Uttar Pradesh, India",26.6711433,83.36457243864551
Greater Mumbai,94.27,106.31,"Greater Indra Nagar, Navpada, K/E Ward, Zone 3, Mumbai, Mumbai Suburban, Maharashtra, 400099, India",19.1074889,72.8718705
Gulbarga,88.16,102.21,"Kalaburagi, Kalaburagi district, Karnataka, India",17.166667,77.083333
Gumla,95.09,100.28,"Gumla, Gumla District, Jharkhand, India",23.0916741,84.5738480719802
Guna,94.75,109.59,"Guna, Ashok Nagar, Madhya Pradesh, India",24.5,77.5
Guntur,99.62,111.88,"Guntur, Andhra Pradesh, 522001, India",16.2915189,80.4541588
Gurdaspur,87.78,97.43,"Gurdaspur, Gurdaspur district, Punjab, 143525, India",32.166667,75.316667
Gurgaon,89.76,96.89,"Gurgaon, Gurugram, Haryana, India",28.42826235,77.00270014657752
Gwalior,93.84,108.58,"Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",26.2037247,78.1573628
Hailakandi,89.19,97.63,"Hailakandi, Assam, India",24.68845365,92.57381528240943
Hamirpur,84.9,95.69,"Hamirpur, Uttar Pradesh, India",25.75,80.0
Hanumangarh,97.39,112.54,"Hanumangarh, Hanumangarh Tehsil, Hanumangarh District, Rajasthan, 335513, India",29.5760254,74.3342203
Hapur,89.65,96.48,"Hapur, Uttar Pradesh, India",28.740612499999997,77.83542556519009
Harda,94.37,109.15,"Harda, Harda Tahsil, Harda, Madhya Pradesh, 461331, India",22.3388828,77.0929933
Hardoi,90.05,96.87,"Hardoi, Uttar Pradesh, India",27.33857665,80.0975264641719
Haridwar,89.54,94.42,"Haridwār, Hardwar, Haridwar, Uttarakhand, 249401, India",29.9384473,78.1452985
Hassan,87.9,102.05,"Hassan, Hasana taluk, Hassan district, Karnataka, 573201, India",13.0070817,76.0992703
Hathras,89.63,96.48,"Hathras, Uttar Pradesh, India",27.57324325,78.11173866751716
Haveri,88.77,102.89,"Haveri, Haveri taluku, Haveri district, Karnataka, 581110, India",14.7874825,75.3996731
Hazaribagh,95.3,100.5,"Hazaribagh, Jharkhand, India",23.9675151,85.43884568595615
Hingoli,94.41,107.93,"Hingoli, Maharashtra, India",19.54311635,77.17394323993398
Hisar,90.46,97.63,"Hisar, Haryana, India",29.080640950000003,75.788754109493
Hojai,89.44,97.9,"Hojai, Assam, 782435, India",26.009390850000003,92.84879014262606
Hooghly,93.22,106.52,"Hooghly, Grand Trunk Road, Bandel, Hugli-Chuchura, Chinsurah - Magra, Hugli, West Bengal, 712102, India",22.9052114,88.3760639
Hoshangabad,94.42,109.2,"Hoshangābād, Narmadapuram, Madhya Pradesh, 461005, India",22.6503147,77.7509281
Hoshiarpur,87.57,97.21,"Hoshiarpur, Punjab, India",31.60857425,75.84644246890946
Howrah,92.76,106.03,"Haora, Howrah, West Bengal, India",22.5736296,88.3251045
Hyderabad,97.82,109.66,"Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",17.360589,78.4740613
Idukki,98.03,109.28,"Idukki, Kerala, India",9.8497872,76.9797914
Indore,93.86,108.58,"Indore, Juni Indore Tahsil, Indore District, Madhya Pradesh, 452001, India",22.7203616,75.8681996
Jabalpur,93.93,108.66,"Jabalpur, Ranjhi Tahsil, Jabalpur District, Madhya Pradesh, India",23.1608938,79.9497702
Jagatsinghpur,94.28,102.71,"Jagatsinghpur, Jagatsinghapur, Odisha, 754100, India",20.2593872,86.1660878
Jagitial,98.53,110.43,"Sri Sai Nursing Home - Jagitial, JambiGadde, Jagtial, Karimnagar_Rural mandal, Jagtial, Telangana, 505327, India",18.7971269,78.9224727
Jahanabad,94.51,107.74,"Jahanabad, Alot Tahsil, Ratlam, Madhya Pradesh, 457114, India",23.72124,75.5203414
Jhabua,94.26,109.02,"Jhabua, Madhya Pradesh, India",22.88585225,74.72513368804519
