,diesel,petrol,location,lat,lon
Jaipur,93.72,108.48,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur District, Rajasthan, 302001, India",26.9154576,75.8189817
Jaisalmer,95.86,110.83,"Jaisalmer, Jaisalmer District, Rajasthan, 345001, India",26.921761,70.9191144
Jajpur,94.96,103.42,"Jajpur, Jajapur, Odisha, 755001, India",20.8522696,86.3385714
Jalandhar,87.68,97.32,"Jalandhar, Punjab, India",31.29201065,75.56805772253911
Jalaun,90.44,97.29,"Jalaun, Uttar Pradesh, India",26.105546,79.42765264782076
Jalgaon,92.7,106.17,"Jalgaon, Maharashtra, India",20.84288265,75.52612463784979
Jalna,94.73,108.3,"Jalna, Maharashtra, India",19.918832950000002,75.87085986165867
Jalor,96.06,111.06,"Jālor, Jalor District, Rajasthan, India",25.166667,72.25
Jalpaiguri,92.48,105.73,"Jalpaiguri, Jalpaiguri District, West Bengal, India",26.4733048,88.6788668614395
Jammu,83.35,97.6,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917
Jamnagar,91.78,96.04,"Jamnagar, Jamnagar City Taluka, Jamnagar District, Gujarat, India",22.4732415,70.0552102
Jamtara,95.19,100.41,"Jamtara, Jharkhand, India",23.9232867,86.77353493891458
Jamui,94.93,108.21,"Jamui, Bihar, 811307, India",24.967852049999998,86.17351147289283
Jangaon,97.45,109.27,"Jangaon, Telangana, India",17.746584300000002,79.24072182693956
Janjgir,95.72,102.74,"Janjgir, Janjgir Tahsil, Janjgir-Champa, Chhattisgarh, 495668, India",22.0090841,82.578896
Jashpur,96.98,104.02,"Jashpur, Chhattisgarh, India",22.770251000000002,83.97080132252168
Jaunpur,90.97,97.8,"Jaunpur, Uttar Pradesh, India",25.7955927,82.48834097504385
Jayashankar Bhupalpally,97.73,109.57,"State Bank Of India, Gurrampet, Gurrampet, Bhupalpally mandal, Jayashankar Bhupalapally, Telangana, India",18.3598495,79.9311384
Jhajjar,89.71,96.84,"Jhajjar, Haryana, India",28.53364155,76.68981477716189
Jhalawar,94.8,109.69,"Jhālāwār, Jhalawar District, Rajasthan, 326003, India",24.416667,76.25
Jhansi,89.9,96.73,"Jhansi, Uttar Pradesh, India",25.530130800000002,78.65242146225927
Jhargram,93.53,106.89,"Jhargram, West Bengal, India",22.3770636,87.04867177362203
Jharsuguda,94.89,103.31,"Jharsuguda, Odisha, India",21.87705125,84.00905063735019
Jhunjhunun,95.03,109.93,"Jhunjhunūn, Jhunjhunun District, Rajasthan, 333021, India",28.0,75.5
Jind,90.02,97.17,"Jind, Haryana, India",29.301826249999998,76.33847076788838
Jiribam,88.96,103.21,"Jiribam, Manipur, 795116, India",24.6778472,93.1549000879473
Jodhpur,94.98,109.86,"Jodhpur, Jodhpur Tehsil, Jodhpur District, Rajasthan, India",26.2967719,73.0351433
Jogulamba Gadwal,99.55,111.51,"Jogulamba Gadwal, Telangana, India",16.0999202,77.73415835077523
Jorhat,89.01,97.49,"Jorhat, Jorhat East, Jorhat, Assam, 785001, India",26.7577925,94.2079645
Junagadh,93.5,97.73,"Junagadh, NH 8D, Junagadh City Taluka, Junagadh District, Gujarat, 362037, India",21.518558900000002,70.45917211724378
Kaimur,95.65,108.97,"Kaimur (Bhabua), Bihar, India",24.97587095,83.57643402321503
Kaithal,89.66,96.8,"Kaithal, Haryana, India",29.822820749999998,76.37830986647243
Kakching,87.41,101.49,"Kakching, Manipur, India",24.38904015,93.88013239529906
Kalahandi,97.25,105.75,"Kālāhandi, Kalahandi, Odisha, India",19.75,83.0
Kalimpong,92.71,105.98,"Kalimpong, Kalimpong -I, Kalimpong district, West Bengal, 734316, India",27.0702869,88.4723676
Kamareddy,98.95,110.88,"Kamareddy, Kamareddy mandal, Kamareddy district, Telangana, 503100, India",18.3222091,78.3387118
Kamrup,88.68,97.15,"Kamrup, Assam, India",26.14688605,91.22273972821812
Kamrup Metropolitan,88.56,97.02,"Kamrup Metropolitan, Assam, India",26.13526375,91.86167062524618
Kanchipuram,94.41,102.81,"Kanchipuram District, Tamil Nadu, India",12.9647163,79.9839686
Kandhamal,96.41,104.91,"Kandhamal, Odisha, India",20.13069385,84.07904760590154
Kangpokpi,87.46,101.55,"Kangpokpi, Kangpoki, Kangpokpi, Manipur, 795129, India",25.1524326,93.9714932
Kangra,84.52,95.27,"Kangra, Himachal Pradesh, 176217, India",32.166667,76.25
Kanker,96.89,103.92,"Uttar Bastar Kanker, Chhattisgarh, India",20.12868925,80.98453000491365
Kanniyakumari,95.24,103.6,"Kanniyakumari, Main Road, Vavaturai, Agastheeswaram, Kanyakumari, Agastheeswaram, Kanyakumari District, Tamil Nadu, 629702, India",8.0879641,77.5467414
Kannauj,90.57,97.41,"Kannauj, Uttar Pradesh, India",26.999697400000002,79.68861212775874
Kannur,96.93,108.0,"Kannur, Kannur district, Kerala, India",11.8763836,75.3737973
Kanpur Rural,89.6,96.41,"Rural Technology Action Group, 6th Avenue, Kanpur, Kanpur Nagar, Uttar Pradesh, 208016, India",26.514219349999998,80.23027653908163
Kanpur Urban,89.81,96.63,"Kanpur shoe mela, Dr. M H Marigowda Road, Sadgunte Palya, Suddagunte Palya Ward, South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560030, India",12.9361708,77.6069588
Kapurthala,87.41,97.04,"Kapurthala, Punjab, India",31.38524095,75.30552273989395
Karaikal,86.12,95.89,"Karaikal, Karaikal Taluk, Karaikal district, Puducherry, 609602, India",10.91571,79.8375761
Karauli,93.74,108.53,"karauli, Karauli Tehsil, Karauli District, Rajasthan, India",26.4956,77.0275
Karbi Anglong,89.63,98.1,"Karbi Anglong, East Karbi Anglong, Assam, India",26.0,93.5
Karim Nagar,97.92,109.78,"Nabi Karim Road, Nabi Karim, Old Delhi, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110055, India",28.6505379,77.2137323
Karimganj,89.74,98.19,"Karimganj, Assam, India",24.8483482,92.33221292310328
Karnal,89.34,96.48,"Karnal, Haryana, 132001, India",29.6803266,76.9896254
Karur,94.55,102.92,"Karur, Karur District, Tamil Nadu, India",10.9301522,78.08485454572889
Kasaragod,97.29,108.39,"Kasaragod, Kasaragod district, Kerala, 671121, India",12.5035577,74.9907022
Kanshi Ram Nagar,90.07,96.91,"Manyawar Kanshi Ram Aawash Yojna, Akbarpur, Ambedkar Nagar, Uttar Pradesh, 224122, India",26.46281815,82.49013652374569
Kathua,83.92,98.21,"Kathua, Kathua District, Jammu and Kashmir, India",32.4288215,75.56286458392415
Katihar,95.38,108.7,"Katihar, Bihar, India",25.559100100000002,87.64745595714365
Katni,94.88,109.7,"Katni, Murwara Tahsil, Katni, Madhya Pradesh, 483500, India",23.8339621,80.392456
Kaushambi,89.96,96.76,"Kaushambi, Uttar Pradesh, India",25.53868215,81.45034105480562
Kawardha,96.37,103.41,"Kawardha, Kawardha Tahsil, Kabirdham, Chhattisgarh, 491995, India",22.0059254,81.2332055
Kendrapara,94.66,103.11,"Kendrapara, Odisha, India",20.50040085,86.43170622796478
Keonjhar,96.67,105.2,"Keonjhar, Kendujhar, Odisha, 758018, India",21.5,85.5
Khagaria,94.34,107.59,"Khagaria, Bihar, India",25.4916868,86.69910848212217
Khammam,98.4,110.3,"Khammam, Telangana, India",17.5,80.333333
Khandwa,95.06,109.89,"Khandwa, Madhya Pradesh, India",21.9778642,76.5688282326971
Khargone,94.47,109.24,"Khargone, Khargone Tahsil, Khargone, Madhya Pradesh, 451001, India",21.825599,75.614182
Kheda,91.96,96.22,"Kheda, Kheda District, Gujarat, 387320, India",22.75,72.833333
Khordha,94.76,103.19,"Khordha, Odisha, India",20.22564715,85.56059465125232
Khowai,88.03,99.06,"Khowai, Tripura, 799207, India",24.04673835,91.62320953646798
Khunti,94.72,99.91,"Khunti, Jharkhand, 835210, India",23.10018105,85.3454593617985
Kinnaur,88.11,99.44,"Kinnaur district, Himachal Pradesh, India",31.5864184,78.396745
Kiphire,89.76,101.77,"Kiphire, Nagaland, 798611, India",25.81551155,94.84166400470303
Kishanganj,95.99,109.35,"Kishanganj, Kishanganj district, Bihar, India",26.130435300000002,87.94010318229245
Kishtwar,86.24,101.09,"Kishtwar, Kishtwar district, Jammu and Kashmir, India",33.2761171,75.8169238781403
Kodagu,88.9,103.19,"Kodagu, Karnataka, India",12.38217745,75.66531991685233
Koderma,95.42,100.64,"Koderma, Kodarma, Jharkhand, India",24.4931239,85.55608107203881
Kohima,87.56,99.45,"Kohīma, Kohima, Nagaland, 797003, India",25.75,94.166667
Kokrajhar,89.1,97.57,"Kokrajhar, Assam, India",26.58687695,90.29293105124796
Kolar,87.83,101.87,"Kolar, Kolar taluk, Kolar district, Karnataka, 563101, India",13.1367201,78.1337246
Kolasib,81.23,94.62,"Kolasib, Mizoram, India",24.18947525,92.7133181281124
Kolhapur,93.01,106.47,"Kolhapur, Maharashtra, 416003, India",16.7028412,74.2405329
Kolkata,92.76,106.03,"Kolkata, West Bengal, India",22.5726459,88.3638953
Kollam,97.95,109.11,"Kollam, Kerala, 691001, India",8.8879509,76.5955013
Komaram Bheem Asifabad,99.48,111.45,"Kumuram Bheem Asifabad, Telangana, India",19.33381885,79.4219792634756
Kondagaon,97.4,104.45,"Kondagaon, Chhattisgarh, India",19.5885769,81.6628742
Koppal,89.08,103.21,"Koppala, Koppala taluku, Koppal district, Karnataka, 583231, India",15.3484144,76.1547421
Koraput,99.21,107.79,"Koraput, Odisha, India",18.7232023,82.6081182778727
Korba,95.17,102.18,"Korba, Korba Tahsil, Korba District, Chhattisgarh, 495600, India",22.3547468,82.7110855
Koria,96.11,103.13,"SubCentre, Koria, SH55, Begusarai, Bihar, 851127, India",25.5363733,86.1339196
Kota,93.84,108.62,"Kota, Ladpura Tehsil, Kota District, Rajasthan, 324001, India",25.1737019,75.8574194
Kottayam,97.0,108.1,"Kottayam, Kerala, India",9.6287383,76.64553257390992
Kozhikode,97.2,108.28,"Kozhikode, Kozhikode district, Kerala, 673001, India",11.2450558,75.7754716
Krishna,99.16,111.38,"Krishna, Andhra Pradesh, India",16.21399145,81.02572813603345
Krishnagiri,95.83,104.23,"Krishnagiri, Krishnagiri District, Tamil Nadu, India",12.5188835,78.2206536
Kulgam,86.4,101.26,"Kulgam, Kulgam District, Jammu and Kashmir, India",33.669800550000005,75.01480232217389
Kullu,86.06,97.0,"Kullu, Himachal Pradesh, India",32.00186325,77.37899639741332
Kupwara,87.59,102.65,"Kupwara, Kupwara District, Jammu and Kashmir, India",34.611023599999996,74.238478667319
Kurnool,99.76,112.03,"Kurnool, Andhra Pradesh, 518001, India",15.8309251,78.0425373
Kurukshetra,89.84,96.99,"Kurukshetra, Thanesar, Kurukshetra, Haryana, 132118, India",29.9693747,76.8482787
Kushinagar,89.63,96.44,"Kushinagar, Uttar Pradesh, India",26.7438272,83.9162322
Kutch,92.33,96.59,"Gulf of Kutch, India",22.6612804,69.7625581
Lahul & Spiti,87.9,99.18,"Lahul, Lahul and Spiti, Himachal Pradesh, India",32.53924315,77.19817948616455
Lakhimpur,90.28,98.77,"Lakhimpur, Kheri, Uttar Pradesh, India",27.985060150000002,80.75384538357649
Lalitpur,90.22,97.06,"Lalitpur, Uttar Pradesh, India",24.70038485,78.51866758648347
Latehar,95.68,100.87,"Latehar, Jharkhand, 829206, India",23.74186545,84.51301366522105
Latur,93.69,107.19,"Latur, Maharashtra, India",18.35159075,76.75542361334745
Lawngtlai,84.03,97.77,"Lawngtlai, Mizoram, 796891, India",22.34596495,92.8119536068969
Lohardaga,95.53,100.72,"Lohardaga, Jharkhand, India",23.46920055,84.73568423071751
Lohit,84.66,95.39,"Lohit, Sunpura Circle, Lohit district, Arunachal Pradesh, India",27.8239052,95.861898
Longding,84.35,95.06,"Longding, Arunachal Pradesh, 792131, India",26.879454600000003,95.3155652456941
Longleng,88.94,100.76,"Longleng, Nagaland, 798625, India",26.49031725,94.77214247303138
Lower Dibang Valley,84.8,95.6,"Lower Dibang Valley, Arunachal Pradesh, 792110, India",28.21495625,95.87877403567019
Lower Subansiri,82.4,93.03,"Lower Subansiri, Kra Daadi, Arunachal Pradesh, India",27.8,93.6
Luckeesarai,94.76,108.04,"Luckeesarai Junction, ODR, Kiul, Lakhisarai, Bihar, India",25.1717751,86.0944743
Lucknow,89.81,96.62,"Lucknow, Uttar Pradesh, 226019, India",26.8381,80.9346001
Ludhiana,87.8,97.45,"Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141008, India",30.9090157,75.851601
Lunglei,83.44,97.14,"Lunglei, Mizoram, India",22.898553,92.75192291719874
Madhepura,94.89,108.17,"Madhepura, Bihar, India",25.9259562,86.82042961035677
Madhubani,95.32,108.63,"Madhubani, Bihar, India",26.350071999999997,86.22914688962271
Madurai,94.98,103.35,"Madurai, Madurai South, Madurai District, Tamil Nadu, India",9.9261153,78.1140983
Mahabubabad,97.72,109.56,"Mahabubabad, Telangana, India",17.7138983,80.04134252767227
Maharajganj,90.42,97.25,"Maharajganj, Mahrajganj, Uttar Pradesh, India",27.09254225,83.56696261338257
Mahasamund,96.69,103.73,"Mahasamund, Chhattisgarh, India",21.19228455,82.48902633077708
Mahe,83.72,93.8,"Mahé, Mahe Taluk, Mahé District, Puducherry, 673310, India",11.7021978,75.5364701
Mahendragarh,89.95,97.08,"Mahendragarh, Haryana, India",28.25,76.166667
Mahisagar,92.9,97.16,"Mahisagar District, Gujarat, India",23.1916967,73.6626352964019
Mahoba,90.63,97.48,"Mahoba, Uttar Pradesh, India",25.36176885,79.70499475331877
Mainpuri,90.23,97.08,"Mainpuri, Uttar Pradesh, India",27.2098219,79.04813700847944
Majuli,90.78,99.3,"Majuli, Assam, India",27.021952849999998,94.32742302965544
Malappuram,97.75,108.9,"Malappuram, Kerala, India",11.10684475,76.10995510466662
Malda,92.7,105.96,"Malda, English Bazar, Maldah, West Bengal, 732101, India",25.0057449,88.1398483
Malkangiri,100.29,108.92,"Malkangiri, Odisha, India",18.35835435,81.89823748747048
Mamit,82.42,96.02,"Mamit, Mizoram, India",23.75590845,92.45173568830637
Mancherial,98.74,110.65,"Mancherial, Telangana, India",18.9812967,79.51980961374048
Mandi,85.38,96.2,"Mandi, Himachal Pradesh, India",31.6723392,76.95331690779145
Mandla,95.27,110.12,"Mandla, Madhya Pradesh, India",22.68536625,80.58150561711888
Mandsaur,94.93,109.75,"Mandsaur, Madhya Pradesh, India",24.2627979,75.38588022856008
Mandya,88.1,102.17,"Mandya, Mandya taluk, Mandya district, Karnataka, 571401, India",12.5238888,76.8961961
Mansa,87.57,97.21,"Mansa, Punjab, India",29.8769971,75.4889866137018
Mathura,89.33,96.17,"Mathura, Uttar Pradesh, India",27.633333,77.583333
Mau,90.57,97.4,"Mau, Uttar Pradesh, India",26.0376878,83.49793418499047
Mayurbhanj,95.6,104.05,"Mayūrbhanj, Mayurbhanj, Odisha, India",21.75,86.5
Medak,98.24,110.1,"Medak, Telangana, India",17.9375095,78.21174498510584
Medchal Malkajgiri,97.82,109.66,"Medchal–Malkajgiri, Telangana, India",17.53498345,78.52463873502381
Meerut,89.64,96.46,"Meerut, Uttar Pradesh, India",29.000652549999998,77.76822875372174
Mahabubnagar,98.7,110.6,"Mahabubnagar, Telangana, India",16.696568550000002,77.95911462089693
Mehsana,92.17,96.4,"Mahesana, Mahesana Taluka, Mahesana District, Gujarat, 384001, India",23.6015557,72.3867981
Mewat,89.81,96.94,"Nuh, Haryana, India",27.993178,77.04073902524605
Mirzapur,90.63,97.45,"Mirzapur, Mirzapur District, Uttar Pradesh, India",25.101047700000002,82.62574935763521
Moga,88.2,97.87,"Moga, Punjab, India",30.7839866,75.16057422541162
Mokokchung,88.99,101.02,"Mokokchung, Nagaland, India",26.4795861,94.51052754768273
Mon,88.75,100.62,"Mon, Nagaland, India",26.75,94.833333
Moradabad,90.01,96.83,"Moradabad, Uttar Pradesh, India",28.8638424,78.80577833091104
Morbi,92.54,96.77,"Morbi, Morbi Taluka, Morbi District, Gujarat, 363641, India",22.8176662,70.8345928
Morena,94.27,109.04,"Morena, Madhya Pradesh, India",26.166667,77.5
Morigaon,89.11,97.59,"Catholic Church, Morigaon, St Theres,a's School, SH15, Marigaon, Assam, 782105, India",26.2551482,92.3290878
Muktsar,87.48,97.13,"Sri Muktsar Sahib, Muktsar Tahsil, Sri Muktsar Sahib District, Punjab, 152026, India",30.4692,74.5182
Mulugu,97.47,109.29,"Mulugu, Mulug mandal, Mulugu, Telangana, 506343, India",18.1932372,79.9413676
Mumbai City,94.27,106.31,"Mumbai City, Maharashtra, India",18.9733536,72.82810491917377
Mungeli,96.18,103.2,"Mungeli, Chhattisgarh, India",22.0661098,81.6874282
Munger,94.23,107.47,"Munger, Bihar, India",25.22081165,86.51720367235285
Murshidabad,92.92,106.2,"Murshidabad, Murshidabad Jiaganj, Murshidabad, West Bengal, 742149, India",24.1745993,88.2721335
Muzaffarnagar,89.81,96.63,"Muzaffarnagar, Uttar Pradesh, India",29.44800635,77.74068502568672
Muzaffarpur,94.79,108.07,"Muzaffarpur, Bihar, India",26.1486581,85.34001282479626
Mysore,87.49,101.5,"Mysuru, Mysuru taluk, Mysuru district, Karnataka, 570001, India",12.3051828,76.6553609
Nabarangapur,99.53,108.13,"Nabarangapur, Odisha, India",19.60962325,82.29876854111501
Nadia,93.78,107.12,"Nadia, West Bengal, India",23.4836184,88.55570832329447
Nagaon,89.77,98.26,"Nagaon, Assam, India",26.30414915,92.71605974430346
Nagapattinam,95.79,104.18,"Nagapattinam, Nagapattinam District, Tamil Nadu, India",10.805627600000001,79.824659783024
Nagarkurnool,98.53,110.41,"Nagarkurnool, Telangana, India",16.415762649999998,78.68304333132829
Nagaur,93.99,108.78,"Nāgaur, Nagaur District, Rajasthan, India",27.0237969,74.2037201
Nagpur,92.59,106.04,"Nagpur Urban Taluka, Nagpur, Maharashtra, India",21.1498134,79.0820556
Nainital,89.97,94.85,"Nainital, Uttarakhand, India",29.29478295,79.41548093726253
Nalanda,94.42,107.65,"Nalanda, NH120, Silao, Nalanda, Bihar, 803111, India",25.1364914,85.44365464855682
Nalbari,89.18,97.66,"Nalbari, Assam, India",26.42386165,91.45122754621168
Nalgonda,98.22,110.11,"Nalgonda, Telangana, India",16.8579636,79.21749353315548
Namakkal,94.7,103.07,"Namakkal, Namakkal District, Tamil Nadu, India",11.284224850000001,78.16615283668403
Namsai,84.42,95.13,"Namsai, Arunachal Pradesh, India",27.71403055,96.01597093953018
Nanded,94.78,108.32,"Nanded, Maharashtra, India",19.09400875,77.48319215130235
Nandurbar,93.49,106.99,"Nandurbar, Maharashtra, India",21.51450155,74.54070114836503
Narayanpet,99.51,111.47,"Narayanpet, Ghatanji, Yavatmal, Maharashtra, 445306, India",19.9186968,78.310799
Narmada,92.73,96.99,"Narmada, India",22.6694223,77.5687122
Narsimhapur,94.21,108.96,"Narsimhapur, Madhya Pradesh, India",22.93412525,79.08676592149922
Nashik,92.42,105.89,"Nashik, Maharashtra, India",20.0112475,73.7902364
Navsari,92.3,96.54,"Navsari, Navsari Taluka, Nav Sari District, Gujarat, 396400, India",20.952407,72.9323831
Nawada,94.97,108.24,"Nawada, Bihar, India",24.818123999999997,85.5185562336921
Nayagarh,95.03,103.47,"Nayagarh, Odisha, India",20.1160666,85.11195643843573
Neemach,95.15,110.0,"Neemach Mata Mandir, Udaipur Bari Road, Udaipur, Girwa Tehsil, Udaipur District, Rajasthan, 313001, India",24.6130499,73.6759369
Nellore,99.91,112.24,"Nellore, Sri Potti Sriramulu Nellore, Andhra Pradesh, 524001, India",14.4493717,79.9873763
New Delhi,89.62,96.72,"New Delhi, Delhi, India",28.6138954,77.2090057
Nicobar,79.74,84.1,"Nicobar, Andaman and Nicobar Islands, India",7.0000167,93.8110528187756
Nilgiris,96.37,104.96,"Nilgiris, CP Ramaswamy Road, CMWSSB Division 123, Ward 123, Zone 9, Chennai, Chennai District, Tamil Nadu, 600001, India",13.031996,80.2566384
Nirmal,99.4,111.36,"Nirmal, Telangana, India",19.091520950000003,78.39660898429065
Nizamabad,99.31,111.27,"Nizamabad, Azamgarh, Uttar Pradesh, India",26.055317950000003,82.99313867937335
Noney,87.51,101.61,"Noney, Tamenglong, Manipur, 795159, India",24.8625867,93.6237454
North 24 Parganas,93.29,106.59,"North 24 Parganas, West Bengal, India",22.692681450000002,88.66111746099942
North And Middle Andaman,79.74,84.1,"North and Middle Andaman, Andaman and Nicobar Islands, India",12.61123865,92.83165406414926
North Delhi,89.62,96.72,"North Delhi, Delhi, India",28.78722785,77.09809032829239
North District,89.9,102.85,"North District, North Sikkim District, Sikkim, India",27.666667,88.5
North East Delhi,89.62,96.72,"North East Delhi, Delhi, India",28.72330795,77.26685650778668
North Garo Hills,84.19,95.67,"North Garo Hills, Meghalaya, India",25.8619841,90.70177048839348
North Goa,90.29,97.75,"North Goa, Goa, India",15.60444125,74.00172406307475
North Tripura,87.42,98.4,"North Tripura, Tripura, India",24.092147599999997,92.24512135019847
North West Delhi,89.62,96.72,"North West Delhi, Delhi, India",28.737914449999998,77.01006262588218
Nuaparha,97.17,105.68,"Nuapada, Odisha, 766105, India",20.8085208,82.5340241
Osmanabad,93.84,107.35,"Osmanabad, Waruda Road, Gairan Wasti, Waruda, Dharashiv, Maharashtra, 413500, India",18.28224535,76.05881660170444
Pakur,95.97,101.2,"Pakur, NH133A, Dhanukpuja, Pakur, Pakaur, Jharkhand, 816107, India",24.6379647,87.8558666
Palakkad,97.95,109.11,"Palakkad, Kerala, India",10.78736915,76.47421718925105
Palamau,97.54,102.75,"Palāmau, SH9, Betla, Barwadih, Latehar, Jharkhand, 822111, India",23.8955106,84.2306
Palghar,92.55,106.06,"Palghar, Maharashtra, India",19.684661,72.82491116145356
Pali,93.78,108.54,"Pali District, Rajasthan, India",25.6051226,73.41650554658088
Palwal,90.3,97.44,"Palwal, Haryana, India",28.176958900000002,77.37311203790532
Panch Mahal,92.18,96.44,"Panch Mahal District, Gujarat, India",22.69584,73.60505830112048
Panchkula,90.67,97.84,"Panchkula, Haryana, India",30.7137692,76.86827600027706
Panipat,89.53,96.67,"Panipat, Haryana, 132100, India",29.3912753,76.9771675
Panna,95.48,110.38,"Panna, Madhya Pradesh, 488058, India",24.5,80.25
Papum Pare,82.27,92.83,"Papum Pare, Arunachal Pradesh, India",27.286366649999998,93.61877159710389
Parbhani,95.21,108.79,"Parbhani, Maharashtra, India",19.29019805,76.60264434278307
Paschim Bardhaman,92.61,105.86,"Paschim Bardhaman, West Bengal, India",23.64260775,87.16444149728576
Paschim Medinipur,93.33,106.67,"Paschim Medinipur, West Bengal, India",22.3599134,87.41331447600871
Patan,92.22,96.46,"Patan, Gujarat, India",23.77405735,71.68373465668734
Pathanamthitta,97.67,108.81,"Pathanamthitta, Kerala, India",9.278084100000001,76.97374429915658
Pathankot,88.45,98.12,"Pathankot, Pathankot Tahsil, Pathankot district, Punjab, 145001, India",32.2692452,75.6528858
Patiala,87.52,97.17,"Patiala, Punjab, India",30.2090874,76.3398720856221
Patna,94.04,107.24,"Patna, Patna Rural, Patna District, Bihar, 800001, India",25.6093239,85.1235252
Pauri,90.38,95.29,"Pauri, Pauri Garhwal, Uttarakhand, 246001, India",30.1479882,78.7759518
Peddapalli,98.44,110.34,"Peddapalli, Telangana, India",18.62065305,79.49501710882896
Perambalur,95.01,103.38,"Perambalur, Perambalur District, Tamil Nadu, India",11.2287716,78.8182555496278
Peren,86.99,98.65,"Peren, Nagaland, 797101, India",25.47907705,93.72563659313207
Phek,89.1,101.14,"Phek, Nagaland, India",25.75,94.5
Pherzawl,88.78,103.02,"Pherzawl, Tipaimukh, Pherzawl, Manipur, India",24.2595653,93.1906004
Pilibhit,90.31,97.15,"Pilibhit, Pilibhit District, Uttar Pradesh, India",28.690806600000002,79.83107248812297
Pithoragarh,92.75,97.96,"Pithoragarh, Pithoragarh Tehsil, Pithoragarh district, Uttarakhand, 262500, India",29.585871,80.215167
Pondicherry,86.33,96.16,"Puducherry, India",10.91564885,79.80694879844232
Poonch,85.83,100.6,"Poonch, Haveli tehsil, Poonch district, Jammu and Kashmir, 185101, India",33.7670004,74.0957143
Porbandar,92.52,96.77,"Porbandar, Porbandar Taluka, Porbandar District, Gujarat, 360500, India",21.6409,69.611
Prakasam,99.75,112.05,"Prakasam, Andhra Pradesh, India",15.6589741,79.47164372680194
Pratapgarh,94.21,109.01,"Pratapgarh, Uttar Pradesh, India",25.75,81.75
Pudukkottai,95.3,103.68,"Pudukkottai, Pudukkottai District, Tamil Nadu, India",10.5,78.833333
Pulwama,86.91,101.92,"Pulwama, Pulwama tehsil, Pulwama District, Jammu and Kashmir, India",33.8756947,74.9003129
Pune,92.3,105.77,"Pune City, Pune, Maharashtra, India",18.521428,73.8544541
Purba Bardhaman,93.1,106.39,"Purba Bardhaman, West Bengal, India",23.391717,87.90621212355462
Purba Medinipur,92.75,106.05,"Purba Medinipur, West Bengal, India",22.06217445,87.83672383486115
Puri,95.16,103.61,"Puri, Puri (M), Puri, Odisha, 752001, India",19.8076083,85.8252538
Purnia,95.39,108.71,"Purnia, Araria, Bihar, India",26.0,87.5
Purulia,93.53,106.85,"Purulia, Purulia - II, Puruliya, West Bengal, 723101, India",23.3291882,86.3672378
Rae Bareli,89.87,96.68,"Rāe Bareli, Raebareli, Uttar Pradesh, India",26.25,81.25
Raichur,88.59,102.67,"Raichur, Raichur district, Karnataka, India",16.083333,77.166667
Raigarh,95.73,102.75,"Raigarh, Raigarh District, Chhattisgarh, India",22.5,83.5
Raipur,95.44,102.45,"Raipur, Raipur Tahsil, Raipur, Chhattisgarh, 493332, India",21.2380912,81.6336993
Raisen,94.08,108.84,"Raisen, Madhya Pradesh, India",23.25,78.083333
Rajanna Sircilla,98.3,110.18,"Rajanna Sircilla, Telangana, India",18.452116,78.76455837158737
Rajgarh,94.71,109.53,"Rajgarh, Madhya Pradesh, India",23.87167135,76.7748902040889
Rajkot,91.94,96.18,"Rajkot, Rajkot Taluka, Rajkot, Gujarat, 360001, India",22.3053263,70.8028377
Rajnandgaon,95.84,102.86,"Rajnandgaon, Chhattisgarh, India",21.06844245,80.797077941564
Rajouri,84.74,99.18,"Rajouri, Rajauri, Rajouri district, Jammu and Kashmir, 185131, India",33.3772495,74.3132332
Rajsamand,94.35,109.17,"Rajsamand, Rajsamand Tehsil, Rajsamand District, Rajasthan, 313326, India",25.0585825,73.8880816
Ramanagara,88.29,102.39,"Ramanagara, Ramanagara taluk, Ramanagara district, Karnataka, 571511, India",12.7252766,77.2804797
Ramanathapuram,95.41,103.78,"Ramanathapuram, Ramanathapuram District, Tamil Nadu, India",9.3895523,78.85907071521498
Ramban,85.17,99.84,"Ramban, Ramban district, Jammu and Kashmir, India",33.211637100000004,75.20509890752818
Ramgarh,95.19,100.38,"Ramgarh, Jharkhand, India",23.598775949999997,85.53691564663127
Rampur,90.26,97.09,"Rampur, Kaimur (Bhabua), Bihar, India",24.890090999999998,83.73254274787365
Ranchi,94.65,99.84,"Ranchi, Kanke, Ranchi, Jharkhand, 834001, India",23.3700501,85.3250387
Rangareddy,97.82,109.66,"Rangareddy, Telangana, India",17.133395399999998,78.3970978701631
Ratlam,93.77,108.49,"Ratlam, Madhya Pradesh, India",23.502187,74.95397841237119
Ratnagiri,93.87,107.43,"Ratnagiri, Maharashtra, India",17.282607900000002,73.4569787039826
Rayagada,98.43,107.01,"Rayagada, Odisha, 765017, India",19.172095849999998,83.3350308502498
Reasi,84.48,99.1,"Reasi, Reasi district, Jammu and Kashmir, India",33.069103150000004,74.8378698208889
Rewa,96.06,110.98,"Rewa, Madhya Pradesh, India",24.756718,81.65493468694177
Rewari,89.48,96.6,"Rewari, Rewari District, Haryana, 123110, India",28.1956468,76.6165179
